2026/09/09 18:46:28 using postgres stores (schema up to date)
2026/09/09 18:46:29 api listening on :8080
2026/09/09 19:07:50 http_request method=GET path=/api/memorial-tablets?position_id=import-position_9e1a66e7ba1f7110305027dc status=200 duration_ms=290 bytes=488 remote_ip=::1 request_id=36a53fc5568916d4730692dce03c8152 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:07:51 http_request method=GET path=/api/spirits?tablet_id=import-tablet_cef2c8bc8bde087cf00df4ad&limit=500&offset=0 status=200 duration_ms=350 bytes=823 remote_ip=::1 request_id=7858f7383857e575c804550620fdf484 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:09:46 http_request method=GET path=/api/spirit-houses status=200 duration_ms=230 bytes=447 remote_ip=::1 request_id=f43e6ca410a839d55a3092cc98252327 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:09:46 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=174 bytes=809 remote_ip=::1 request_id=3a0cd5da72011e8732ddbdda949ec6b6 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:09:46 http_request method=GET path=/api/spirits?q=&house_id=house_c1d3d28d0b8c736e7dacf348&area_id=&group_by_tablet=true&limit=25&offset=0 status=200 duration_ms=301 bytes=2903 remote_ip=::1 request_id=7a7fd833a124bd1731dd124c305ff288 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:09:47 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=232 bytes=809 remote_ip=::1 request_id=86be91223c95966c507a25b1201995f2 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:09:51 http_request method=GET path=/api/auth/me status=200 duration_ms=115 bytes=330 remote_ip=::1 request_id=37fb5f7d03e1b9459a0df02cdf64c0e4 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:09:51 http_request method=GET path=/api/spirit-houses status=200 duration_ms=114 bytes=447 remote_ip=::1 request_id=8f6b32fb61e2240cd8400871aa6d7025 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:09:51 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=173 bytes=809 remote_ip=::1 request_id=3f97107f224a6efa911327c40686c9b9 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:09:51 http_request method=GET path=/api/spirits?q=&house_id=house_c1d3d28d0b8c736e7dacf348&area_id=&group_by_tablet=true&limit=25&offset=0 status=200 duration_ms=243 bytes=2903 remote_ip=::1 request_id=9cb3c0c3e2d8067ecf07e08feb9fe7fd user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:09:53 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=218 bytes=809 remote_ip=::1 request_id=deccba980b6fbd850aea60173b204af3 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:11:25 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=184 bytes=809 remote_ip=::1 request_id=49cd837667aedf15d02e14718fbd4aa7 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:11:25 http_request method=GET path=/api/spirits?tablet_id=tablet_8dbf7ba97fb655d0e2d24785&limit=500&offset=0 status=200 duration_ms=231 bytes=932 remote_ip=::1 request_id=22f9c6ac50113f37c802acf0e1ec107c user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:11:25 http_request method=GET path=/api/memorial-tablets?position_id=position_4f760a08331e43ab56a4e0bd status=200 duration_ms=276 bytes=591 remote_ip=::1 request_id=482a1f539ef46cec3abc8ad4b109886d user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:11:29 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=187 bytes=809 remote_ip=::1 request_id=f1a7ed8e196b53129b96012b978452ad user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:14:57 http_request method=GET path=/api/auth/me status=200 duration_ms=115 bytes=330 remote_ip=::1 request_id=ecfff2ce592116d07cecb270d4365fa6 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:14:58 http_request method=GET path=/api/spirit-houses status=200 duration_ms=113 bytes=447 remote_ip=::1 request_id=9152cc7e52d3761ae21a9fc969f20359 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:14:58 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=177 bytes=809 remote_ip=::1 request_id=035f55b6dc53f814b25fc3577bf257ac user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:14:58 http_request method=GET path=/api/spirits?q=&house_id=house_c1d3d28d0b8c736e7dacf348&area_id=&group_by_tablet=true&limit=25&offset=0 status=200 duration_ms=257 bytes=2903 remote_ip=::1 request_id=a4a0609787714abbf48a4422e4efa665 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:15:00 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=231 bytes=809 remote_ip=::1 request_id=0ab59861a2931ad9fab25d1b5c9f4a31 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:17:28 http_request method=GET path=/api/spirit-houses status=200 duration_ms=173 bytes=447 remote_ip=::1 request_id=f367827832f4ee25f9deddbd8bec054c user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:17:29 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=173 bytes=809 remote_ip=::1 request_id=347d5944eb95348c7377099f17077323 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:17:29 http_request method=GET path=/api/spirits?q=&house_id=house_c1d3d28d0b8c736e7dacf348&area_id=&group_by_tablet=true&limit=25&offset=0 status=200 duration_ms=243 bytes=2903 remote_ip=::1 request_id=a36ead0e2bd814531511a54f90d32a20 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:17:47 http_request method=GET path=/api/spirit-houses status=200 duration_ms=172 bytes=447 remote_ip=::1 request_id=e0a57bb78a1d8dc86084c0217bb5f561 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:17:47 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=172 bytes=809 remote_ip=::1 request_id=98fb5948c9b0f5b072c93053d9dd5ddd user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:17:47 http_request method=GET path=/api/spirits?q=&house_id=house_c1d3d28d0b8c736e7dacf348&area_id=&group_by_tablet=true&limit=25&offset=0 status=200 duration_ms=243 bytes=2903 remote_ip=::1 request_id=33fc2a1d3fcf4f79e8eeb7c933542aa0 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:18:23 http_request method=GET path=/api/spirit-houses status=200 duration_ms=174 bytes=447 remote_ip=::1 request_id=958faec4e302d3e1885311f1fc3d89d1 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
